Employee Number,Retention,Age,Gender,Education,Marital Status,Distance From Home,Hourly Rate,Daily Rate,Monthly Rate,Monthly Income,Percent Salary Hike,Education Field,Department,Job Role,Performance Rating,Standard Hours,Stock Option Level,BusinessTravel,Training Times Last Year,Over Time,Job Satisfaction,Job Involvement,Relationship Satisfaction,Environment Satisfaction,Work Life Balance,Num Companies Worked,Total Working Years,Years At Company,Job Level,Years Since Last Promotion,Years In Current Role,Years With Current Manager
473,1,48,0,1,Married,29,91,530,23978,12504,21,Medical,Sales,Manager,4,80,1,Travel_Rarely,3,0,3,3,2,1,1,3,15,0,3,0,0,0
474,1,37,1,3,Divorced,6,51,1319,17001,5974,13,Medical,Research & Development,Research Scientist,3,80,2,Travel_Rarely,2,1,1,4,1,3,3,4,13,7,2,6,7,7
475,1,30,0,2,Married,25,85,641,6069,4736,12,Technical Degree,Sales,Sales Executive,3,80,1,Non-Travel,2,1,3,3,2,4,4,7,4,2,2,2,2,2
476,1,26,1,3,Married,1,57,933,20156,5296,17,Life Sciences,Sales,Sales Executive,3,80,1,Travel_Rarely,3,0,3,3,2,3,3,1,8,8,2,7,7,7
477,1,42,1,4,Single,2,98,1332,17078,6781,23,Other,Research & Development,Healthcare Representative,4,80,0,Travel_Rarely,6,0,4,2,2,1,3,3,14,1,2,0,0,0
478,0,21,0,1,Single,1,99,756,9150,2174,11,Technical Degree,Sales,Sales Representative,3,80,0,Travel_Frequently,3,1,2,2,3,1,3,1,3,3,1,1,2,2
479,1,36,0,5,Single,1,45,845,15276,6653,15,Medical,Sales,Sales Executive,3,80,0,Non-Travel,6,0,4,3,2,4,3,4,7,1,2,0,0,0
481,1,36,1,4,Married,3,48,541,7246,9699,11,Medical,Sales,Sales Executive,3,80,1,Travel_Frequently,2,0,4,2,1,1,3,4,16,13,3,1,9,12
482,1,57,1,4,Married,1,88,593,2967,6755,11,Medical,Research & Development,Healthcare Representative,3,80,0,Travel_Rarely,2,0,3,3,3,4,3,2,15,3,2,1,2,2
483,1,40,0,4,Married,10,46,1171,22495,2213,13,Life Sciences,Research & Development,Laboratory Technician,3,80,1,Travel_Rarely,3,1,3,4,3,4,3,3,10,7,1,1,7,7
484,1,21,1,2,Single,9,39,895,2851,2610,24,Medical,Sales,Sales Representative,4,80,0,Non-Travel,3,0,4,3,3,1,2,1,3,3,1,2,2,2
485,0,33,0,3,Single,5,34,350,9150,2851,13,Marketing,Sales,Sales Representative,3,80,0,Travel_Rarely,2,1,3,3,2,4,3,1,1,1,1,0,0,0
486,1,37,0,3,Married,10,98,921,17663,3452,20,Medical,Research & Development,Laboratory Technician,4,80,1,Travel_Rarely,3,0,1,3,2,3,3,6,17,5,1,0,4,3
487,1,46,0,4,Married,7,30,1144,16044,5258,14,Medical,Research & Development,Manufacturing Director,3,80,0,Non-Travel,2,0,3,3,3,3,4,2,7,1,2,0,0,0
488,0,41,1,3,Single,4,56,143,9558,9355,18,Marketing,Sales,Sales Executive,3,80,0,Travel_Frequently,5,0,2,3,3,1,3,1,8,8,2,7,7,7
491,1,50,1,3,Single,10,100,1046,2755,10496,15,Technical Degree,Research & Development,Healthcare Representative,3,80,0,Travel_Rarely,2,0,4,2,4,4,3,6,20,4,3,1,3,3
492,0,40,1,2,Married,22,68,575,6110,6380,12,Marketing,Sales,Sales Executive,3,80,2,Travel_Rarely,6,1,3,2,1,3,3,2,8,6,2,1,4,0
493,1,31,1,4,Single,9,42,408,7551,2657,16,Life Sciences,Research & Development,Research Scientist,3,80,0,Travel_Rarely,5,1,2,2,4,3,3,0,3,2,1,2,2,2
494,0,21,0,3,Single,12,90,156,25422,2716,15,Life Sciences,Sales,Sales Representative,3,80,0,Travel_Rarely,0,0,2,4,4,3,3,1,1,1,1,0,0,0
495,1,29,1,3,Single,23,54,1283,18168,2201,16,Life Sciences,Research & Development,Research Scientist,3,80,0,Travel_Rarely,4,0,4,3,4,4,3,9,6,3,1,1,2,2
496,1,35,1,4,Single,9,97,755,19394,6540,19,Life Sciences,Research & Development,Healthcare Representative,3,80,0,Travel_Rarely,5,0,2,2,3,3,3,9,10,1,2,0,1,0
497,1,27,1,2,Divorced,1,82,1469,17881,3816,11,Medical,Research & Development,Laboratory Technician,3,80,1,Travel_Rarely,2,0,2,3,2,4,3,1,5,5,1,0,2,4
498,1,28,1,4,Single,9,92,304,20750,5253,16,Life Sciences,Sales,Sales Executive,3,80,0,Travel_Rarely,1,0,4,3,4,2,3,1,7,7,2,0,5,7
499,1,49,1,3,Single,7,31,1261,12066,10965,24,Other,Research & Development,Healthcare Representative,4,80,0,Travel_Rarely,2,0,3,2,3,2,3,8,26,5,3,0,2,0
500,1,51,0,2,Married,14,87,1178,14862,4936,11,Life Sciences,Sales,Sales Executive,3,80,1,Travel_Rarely,2,0,4,3,3,3,2,4,18,7,2,0,7,7
501,1,36,0,3,Married,2,96,329,11868,2543,13,Life Sciences,Research & Development,Research Scientist,3,80,1,Travel_Rarely,3,0,3,3,2,4,3,4,6,2,1,2,2,2
502,0,34,1,3,Single,19,67,1362,4652,5304,13,Marketing,Sales,Sales Executive,3,80,0,Non-Travel,3,1,4,4,2,1,2,8,9,5,2,0,2,4
505,1,55,0,3,Single,2,97,1311,23258,16659,13,Life Sciences,Research & Development,Manager,3,80,0,Travel_Rarely,2,1,4,3,3,3,3,2,30,5,4,1,4,2
507,1,24,0,4,Divorced,10,77,1371,5915,4260,12,Marketing,Sales,Sales Executive,3,80,1,Travel_Rarely,2,1,3,3,4,4,4,1,5,5,2,0,2,3
508,1,30,1,1,Married,2,72,202,17434,2476,18,Technical Degree,Sales,Sales Representative,3,80,1,Travel_Rarely,3,0,2,3,1,3,3,1,1,1,1,0,0,0
510,0,26,1,1,Single,3,73,575,6582,3102,22,Technical Degree,Research & Development,Research Scientist,4,80,0,Travel_Frequently,2,0,1,3,3,3,3,0,7,6,1,0,4,4
511,1,22,0,3,Married,11,43,253,24440,2244,13,Medical,Research & Development,Research Scientist,3,80,1,Travel_Rarely,1,0,2,3,4,1,3,1,2,2,1,1,1,2
513,1,36,1,2,Married,2,61,164,3809,7596,13,Medical,Sales,Sales Executive,3,80,2,Travel_Rarely,2,0,3,2,2,2,3,1,10,10,3,9,9,0
514,0,30,1,3,Single,4,40,464,3427,2285,23,Technical Degree,Research & Development,Research Scientist,4,80,0,Travel_Frequently,4,1,4,3,3,3,3,9,3,1,1,0,0,0
515,1,37,0,3,Divorced,14,95,1107,26914,3034,12,Life Sciences,Research & Development,Laboratory Technician,3,80,1,Travel_Rarely,2,0,1,3,3,4,2,1,18,18,1,12,7,17
516,1,40,0,2,Divorced,2,46,759,22553,5715,12,Marketing,Sales,Sales Executive,3,80,2,Travel_Rarely,5,0,2,3,3,4,3,7,8,5,2,1,4,3
517,1,42,0,4,Divorced,1,95,201,20490,2576,16,Life Sciences,Research & Development,Laboratory Technician,3,80,1,Travel_Rarely,5,0,1,3,2,2,3,3,8,5,1,1,2,2
518,1,37,1,4,Single,10,49,1305,21123,4197,12,Life Sciences,Research & Development,Manufacturing Director,3,80,0,Travel_Rarely,2,1,2,3,4,3,2,2,18,1,2,0,0,1
520,1,43,1,3,Divorced,12,59,982,4345,14336,11,Life Sciences,Research & Development,Research Director,3,80,1,Travel_Rarely,3,0,2,2,3,1,3,1,25,25,4,3,10,9
521,1,40,0,3,Married,2,78,555,13436,3448,22,Medical,Research & Development,Laboratory Technician,4,80,1,Travel_Rarely,3,0,3,2,2,2,3,6,20,1,2,0,0,0
522,1,54,1,2,Married,5,86,821,8509,19406,11,Medical,Research & Development,Research Director,3,80,1,Travel_Rarely,4,0,1,3,3,1,2,4,24,4,5,1,2,2
523,1,34,0,4,Married,4,72,1381,12740,6538,15,Marketing,Sales,Sales Executive,3,80,1,Non-Travel,3,0,3,3,1,3,3,9,6,3,2,1,2,2
524,1,31,0,2,Married,7,31,480,4156,4306,12,Medical,Research & Development,Manufacturing Director,3,80,1,Travel_Rarely,5,0,1,3,2,2,1,1,13,13,2,3,10,12
525,1,43,1,3,Married,21,61,313,15238,2258,20,Medical,Research & Development,Laboratory Technician,4,80,1,Travel_Frequently,1,0,4,3,1,4,3,7,8,3,1,1,2,2
526,1,43,0,4,Divorced,8,74,1473,2227,4522,14,Other,Research & Development,Healthcare Representative,3,80,0,Travel_Rarely,3,1,3,3,4,3,3,4,8,5,2,0,2,2
527,1,25,0,2,Single,4,99,891,12090,4487,11,Life Sciences,Sales,Sales Executive,3,80,0,Travel_Rarely,3,1,4,2,2,2,3,1,5,5,2,1,4,3
529,1,37,0,5,Married,25,72,1063,23866,4449,15,Medical,Research & Development,Research Scientist,3,80,2,Non-Travel,2,1,3,3,1,2,3,3,15,13,2,10,11,7
530,1,31,1,2,Married,1,98,329,16193,2218,12,Life Sciences,Research & Development,Laboratory Technician,3,80,1,Travel_Rarely,3,0,1,2,3,4,3,1,4,4,1,3,2,2
531,1,39,1,1,Divorced,1,52,1218,8213,19197,14,Life Sciences,Research & Development,Manager,3,80,1,Travel_Frequently,3,1,3,3,3,2,3,1,21,21,5,1,8,6
532,1,56,0,3,Married,6,86,906,18256,13212,11,Life Sciences,Sales,Sales Executive,3,80,3,Travel_Frequently,0,0,1,4,4,3,2,9,36,7,4,7,7,7
533,1,30,0,3,Single,12,83,1082,19558,6577,11,Technical Degree,Sales,Sales Executive,3,80,0,Travel_Rarely,6,0,3,3,2,2,3,0,6,5,2,4,4,4
534,1,41,1,3,Married,1,49,645,19566,8392,16,Marketing,Sales,Sales Executive,3,80,1,Travel_Rarely,2,0,1,4,3,2,3,1,10,10,3,0,7,7
536,1,28,1,2,Divorced,17,79,1300,13535,4558,12,Medical,Research & Development,Laboratory Technician,3,80,1,Travel_Rarely,2,0,1,3,4,3,3,1,10,10,2,1,0,8
538,0,25,1,3,Married,3,91,688,9396,4031,13,Medical,Research & Development,Laboratory Technician,3,80,1,Travel_Rarely,5,0,1,3,3,1,3,5,6,2,1,0,2,2
543,1,52,1,3,Married,3,39,319,19609,7969,14,Medical,Research & Development,Manufacturing Director,3,80,0,Travel_Rarely,4,1,3,2,3,4,3,2,28,5,3,0,4,4
544,1,45,1,2,Married,10,69,192,9655,2654,21,Life Sciences,Research & Development,Research Scientist,4,80,2,Travel_Rarely,3,0,4,3,4,1,2,3,8,2,1,0,2,2
546,1,52,0,2,Married,4,30,1490,10310,16555,13,Life Sciences,Research & Development,Manager,3,80,0,Travel_Rarely,2,0,4,3,4,4,1,2,31,5,4,1,2,4
547,1,42,0,2,Divorced,29,92,532,12932,4556,11,Life Sciences,Research & Development,Research Scientist,3,80,1,Travel_Frequently,3,0,3,3,2,1,3,2,19,5,2,0,4,2
548,1,30,0,3,Single,2,43,317,24793,6091,20,Life Sciences,Research & Development,Manufacturing Director,4,80,0,Travel_Rarely,2,0,4,1,3,3,3,2,11,5,2,0,4,2
549,1,60,0,3,Married,7,41,422,3854,19566,11,Life Sciences,Research & Development,Manager,3,80,0,Travel_Rarely,5,0,1,3,4,1,1,5,33,29,5,11,8,10
550,1,46,0,3,Divorced,18,87,1485,26314,4810,14,Medical,Research & Development,Manufacturing Director,3,80,1,Travel_Rarely,5,0,3,3,3,3,2,2,19,10,2,0,7,8
551,1,42,0,4,Married,28,88,1368,4386,4523,11,Technical Degree,Research & Development,Healthcare Representative,3,80,3,Travel_Frequently,4,0,4,2,4,4,4,0,7,6,2,0,5,4
554,0,24,0,1,Single,1,62,1448,21972,3202,16,Technical Degree,Sales,Sales Representative,3,80,0,Travel_Rarely,4,1,2,3,2,1,3,1,6,5,1,1,3,4
555,0,34,0,2,Divorced,6,33,296,12253,2351,16,Marketing,Sales,Sales Representative,3,80,1,Travel_Frequently,3,0,3,1,4,4,2,0,3,2,1,1,2,0
556,1,38,1,2,Married,2,42,1490,12106,1702,23,Life Sciences,Research & Development,Laboratory Technician,4,80,1,Travel_Frequently,3,1,4,3,3,4,3,1,1,1,1,0,0,0
558,1,40,0,4,Married,2,79,1398,13022,18041,14,Life Sciences,Sales,Manager,3,80,0,Travel_Rarely,2,0,3,3,4,3,3,0,21,20,5,1,15,12
560,1,26,0,3,Divorced,23,90,1349,3032,2886,22,Life Sciences,Research & Development,Research Scientist,4,80,2,Travel_Rarely,3,0,4,3,2,1,1,1,3,3,1,0,2,2
562,1,30,1,3,Married,3,53,1400,16734,2097,15,Life Sciences,Research & Development,Laboratory Technician,3,80,1,Non-Travel,3,0,4,3,3,3,1,4,9,5,1,1,3,4
564,1,29,1,4,Married,3,93,986,21526,11935,18,Medical,Research & Development,Research Director,3,80,0,Travel_Rarely,2,0,3,2,3,2,3,1,10,10,3,0,2,7
565,0,29,0,5,Married,25,71,408,18300,2546,16,Technical Degree,Research & Development,Research Scientist,3,80,0,Travel_Rarely,2,0,2,2,2,3,4,5,6,2,1,1,2,1
566,0,19,1,2,Single,2,52,489,18437,2564,12,Technical Degree,Human Resources,Human Resources,3,80,0,Travel_Rarely,3,0,4,2,3,1,4,1,1,1,1,0,0,0
567,1,30,0,4,Married,22,69,1398,2890,8412,11,Other,Sales,Sales Executive,3,80,0,Non-Travel,3,0,1,3,3,3,3,0,10,9,3,7,8,8
568,1,57,1,3,Divorced,29,56,210,22102,14118,12,Marketing,Sales,Manager,3,80,1,Travel_Rarely,3,0,4,2,3,1,2,3,32,1,4,0,0,0
569,1,50,1,4,Married,29,88,1099,9314,17046,15,Life Sciences,Research & Development,Manager,3,80,1,Travel_Rarely,2,0,3,2,2,2,3,0,28,27,4,15,10,7
571,1,30,0,3,Single,2,49,1116,7181,2564,14,Medical,Research & Development,Laboratory Technician,3,80,0,Non-Travel,2,0,4,3,3,3,2,0,12,11,1,6,7,7
573,1,60,0,3,Married,28,80,1499,2845,10266,19,Marketing,Sales,Sales Executive,3,80,0,Travel_Frequently,5,0,1,2,4,3,4,4,22,18,3,13,13,11
574,1,47,0,2,Divorced,2,65,983,7389,5070,13,Medical,Research & Development,Manufacturing Director,3,80,3,Travel_Rarely,2,0,4,3,3,1,3,5,20,5,2,0,0,4
575,1,46,1,3,Married,2,51,1009,2288,17861,13,Life Sciences,Research & Development,Research Director,3,80,0,Travel_Rarely,2,0,3,3,3,1,1,6,26,3,4,0,2,1
577,1,35,1,3,Single,22,46,144,19225,4230,15,Life Sciences,Research & Development,Laboratory Technician,3,80,0,Travel_Rarely,2,0,3,1,3,4,3,0,6,5,1,4,4,3
578,1,54,0,4,Single,8,42,548,23428,3780,11,Life Sciences,Research & Development,Laboratory Technician,3,80,0,Travel_Rarely,3,0,3,3,3,3,3,7,19,1,2,0,0,0
579,1,34,1,4,Divorced,2,62,1303,8416,2768,12,Life Sciences,Research & Development,Research Scientist,3,80,1,Travel_Rarely,3,0,3,2,3,4,3,3,14,7,1,5,3,7
580,1,46,0,3,Married,10,94,1125,11563,9071,19,Marketing,Sales,Sales Executive,3,80,1,Travel_Rarely,3,1,4,2,3,3,3,2,15,3,3,1,2,2
581,1,31,1,1,Divorced,9,33,1274,14394,10648,25,Life Sciences,Research & Development,Manufacturing Director,4,80,1,Travel_Rarely,6,0,2,3,4,3,4,1,13,13,3,0,8,8
582,0,33,1,1,Married,15,56,1277,24619,13610,12,Medical,Research & Development,Manager,3,80,0,Travel_Rarely,2,1,3,3,4,2,4,7,15,7,3,7,6,7
584,0,33,1,1,Divorced,10,38,587,6705,3408,13,Medical,Research & Development,Laboratory Technician,3,80,3,Travel_Rarely,2,0,4,1,1,1,3,7,8,4,1,1,3,3
585,1,30,1,1,Single,7,57,413,18398,2983,14,Marketing,Sales,Sales Representative,3,80,0,Travel_Rarely,3,0,2,3,1,4,3,0,4,3,1,1,2,2
586,1,35,1,3,Married,16,72,1276,14295,7632,12,Life Sciences,Research & Development,Healthcare Representative,3,80,0,Travel_Rarely,2,1,3,3,3,4,3,4,10,8,3,0,7,0
587,0,31,1,3,Married,20,66,534,22908,9824,12,Life Sciences,Research & Development,Healthcare Representative,3,80,0,Travel_Frequently,2,0,3,3,1,1,3,3,12,1,3,0,0,0
590,0,34,0,3,Divorced,23,43,988,11533,9950,15,Human Resources,Human Resources,Human Resources,3,80,3,Travel_Frequently,2,1,1,3,3,2,3,9,11,3,3,0,2,2
591,1,42,1,2,Married,5,97,1474,9260,2093,17,Other,Research & Development,Laboratory Technician,3,80,1,Travel_Frequently,4,0,3,3,4,2,3,4,8,2,1,2,2,0
592,1,36,1,4,Single,10,32,635,15318,9980,14,Medical,Sales,Sales Executive,3,80,0,Non-Travel,3,0,4,3,4,2,2,1,10,10,3,9,3,7
593,0,22,1,1,Single,4,99,1368,9129,3894,16,Technical Degree,Research & Development,Laboratory Technician,3,80,0,Travel_Frequently,3,0,3,2,3,3,3,5,4,2,1,1,2,2
595,1,48,0,5,Married,2,37,163,19658,4051,14,Marketing,Sales,Sales Executive,3,80,1,Travel_Rarely,2,0,4,3,1,2,3,2,14,9,2,6,7,7
597,1,55,0,5,Single,18,83,1117,9873,16835,23,Life Sciences,Sales,Manager,4,80,0,Travel_Rarely,2,0,2,3,4,1,3,3,37,10,4,7,9,7
599,1,41,1,2,Single,10,56,267,13430,6230,14,Life Sciences,Sales,Sales Executive,3,80,0,Non-Travel,3,0,4,3,4,4,3,7,16,14,2,1,3,10
600,1,35,1,3,Married,1,85,619,18659,4717,11,Marketing,Sales,Sales Executive,3,80,0,Travel_Rarely,2,0,3,3,3,2,3,9,15,11,2,6,9,9
601,1,40,0,3,Single,6,75,302,20364,13237,15,Life Sciences,Research & Development,Manufacturing Director,3,80,0,Travel_Rarely,3,0,3,3,3,2,3,7,22,20,4,5,6,13
602,1,39,0,1,Married,8,48,443,17872,3755,11,Life Sciences,Research & Development,Laboratory Technician,3,80,1,Travel_Frequently,3,0,3,3,1,3,3,1,8,8,1,0,3,7
604,1,31,1,1,Single,2,77,828,8346,6582,13,Life Sciences,Sales,Sales Executive,3,80,0,Travel_Rarely,2,1,4,3,3,2,4,4,10,6,2,0,5,5
605,1,42,1,3,Married,24,56,319,6950,7406,21,Medical,Research & Development,Manufacturing Director,4,80,1,Travel_Rarely,5,1,1,3,4,4,2,1,10,10,3,5,9,8
606,1,45,1,3,Married,2,61,561,16177,4805,19,Other,Sales,Sales Executive,3,80,1,Travel_Rarely,3,0,2,3,2,4,4,0,9,8,2,3,7,7
608,0,26,0,4,Divorced,17,58,426,22808,2741,11,Life Sciences,Human Resources,Human Resources,3,80,1,Travel_Frequently,2,1,3,3,2,2,2,0,8,7,1,1,7,0
611,1,29,1,3,Divorced,19,34,232,22645,4262,12,Technical Degree,Research & Development,Manufacturing Director,3,80,2,Travel_Rarely,2,0,4,3,2,4,4,4,8,3,2,1,2,2
612,1,33,0,5,Divorced,1,95,922,22578,16184,19,Medical,Research & Development,Research Director,3,80,1,Travel_Rarely,2,0,3,4,3,1,3,4,10,6,4,0,1,5
613,1,31,1,3,Divorced,7,44,688,25291,11557,21,Life Sciences,Sales,Manager,4,80,1,Travel_Rarely,3,0,4,2,3,3,2,9,10,5,3,0,4,1
614,0,18,1,3,Single,5,69,1306,8059,1878,14,Marketing,Sales,Sales Representative,3,80,0,Travel_Frequently,3,1,2,3,4,2,3,1,0,0,1,0,0,0
615,1,40,1,3,Divorced,28,58,1094,11373,10932,15,Other,Sales,Sales Executive,3,80,1,Non-Travel,2,0,1,1,3,3,3,3,20,1,3,0,0,1
616,1,41,0,4,Single,2,62,509,2112,6811,17,Other,Research & Development,Healthcare Representative,3,80,0,Non-Travel,3,1,3,2,1,1,3,2,10,8,2,0,7,7
618,1,26,1,2,Divorced,29,45,775,4267,4306,12,Medical,Sales,Sales Executive,3,80,2,Travel_Rarely,5,0,3,3,1,1,3,5,8,0,2,0,0,0
620,1,35,0,3,Single,1,80,195,6698,4859,16,Medical,Sales,Sales Executive,3,80,0,Travel_Rarely,3,0,3,3,4,1,3,1,5,5,2,0,4,3
621,1,34,1,4,Single,21,74,258,19921,5337,12,Life Sciences,Sales,Sales Executive,3,80,0,Travel_Rarely,3,0,4,4,4,4,3,1,10,10,2,5,7,7
622,0,26,1,3,Single,24,66,471,23213,2340,18,Technical Degree,Research & Development,Laboratory Technician,3,80,0,Travel_Rarely,3,1,4,1,2,3,1,1,1,1,1,0,0,0
623,1,37,0,3,Single,1,59,799,23848,7491,17,Technical Degree,Research & Development,Manufacturing Director,3,80,0,Travel_Rarely,3,0,4,3,4,2,4,4,12,6,3,1,5,2
624,1,46,0,1,Married,18,86,1034,8984,10527,11,Medical,Research & Development,Healthcare Representative,3,80,0,Travel_Frequently,3,0,3,3,4,1,2,5,28,2,3,1,2,2
625,1,41,0,5,Married,2,91,1276,5626,16595,16,Life Sciences,Sales,Manager,3,80,1,Travel_Rarely,2,0,1,3,2,2,3,7,22,18,4,11,16,8
626,1,37,1,4,Divorced,9,69,142,24666,8834,13,Medical,Sales,Sales Executive,3,80,1,Non-Travel,6,0,2,3,4,1,3,1,9,9,3,7,5,7
630,1,52,1,2,Divorced,6,78,956,22087,5577,12,Technical Degree,Research & Development,Research Scientist,3,80,2,Travel_Rarely,3,1,1,3,2,4,3,3,18,10,2,6,9,9
631,0,32,1,4,Married,11,60,1474,23914,4707,12,Other,Sales,Sales Executive,3,80,0,Non-Travel,2,0,3,4,4,4,3,8,6,4,2,1,2,2
632,1,24,1,3,Married,24,38,535,5530,2400,13,Medical,Sales,Sales Representative,3,80,2,Travel_Frequently,3,0,4,3,3,4,3,0,3,2,1,2,2,1
634,1,38,0,3,Married,10,76,1495,22174,9824,19,Medical,Research & Development,Healthcare Representative,3,80,1,Travel_Rarely,4,0,3,3,3,3,3,3,18,1,2,0,0,0
635,1,37,0,4,Married,1,65,446,15701,6447,12,Life Sciences,Research & Development,Manufacturing Director,3,80,1,Travel_Rarely,2,0,2,3,2,2,2,6,8,6,2,4,5,3
638,1,49,1,4,Divorced,18,58,1245,2125,19502,17,Life Sciences,Research & Development,Research Director,3,80,1,Travel_Rarely,5,1,3,2,3,4,3,1,31,31,5,0,9,9
639,1,24,1,3,Married,23,89,691,21630,2725,11,Medical,Research & Development,Research Scientist,3,80,2,Travel_Rarely,3,1,4,4,2,2,3,1,6,6,1,1,5,4
641,1,26,1,2,Married,28,66,703,7428,6272,20,Marketing,Sales,Sales Executive,4,80,2,Travel_Rarely,5,0,2,3,4,1,4,1,6,5,2,1,3,4
643,1,24,1,2,Married,17,94,823,9100,2127,21,Other,Research & Development,Laboratory Technician,4,80,1,Travel_Rarely,2,0,2,2,4,4,3,1,1,1,1,0,0,0
644,1,50,1,3,Married,3,99,1246,7999,18200,11,Medical,Human Resources,Manager,3,80,1,Travel_Frequently,2,0,2,3,3,1,3,1,32,32,5,10,5,7
645,1,25,1,1,Married,13,40,622,26376,2096,11,Medical,Sales,Sales Representative,3,80,0,Travel_Rarely,1,0,3,3,3,2,3,1,7,7,1,0,4,6
647,0,24,0,3,Married,7,55,1287,14168,2886,16,Life Sciences,Research & Development,Laboratory Technician,3,80,1,Travel_Frequently,4,1,3,3,4,1,3,1,6,6,1,1,3,2
648,0,30,1,4,Married,12,74,448,14470,2033,18,Life Sciences,Sales,Sales Representative,3,80,1,Travel_Frequently,2,0,1,2,3,2,4,1,1,1,1,0,0,0
649,1,34,1,2,Married,1,83,254,22794,3622,13,Life Sciences,Research & Development,Research Scientist,3,80,1,Travel_Rarely,3,1,4,2,4,2,3,1,6,6,1,1,5,3
650,0,31,1,4,Divorced,13,46,1365,11512,4233,17,Medical,Sales,Sales Executive,3,80,0,Travel_Rarely,2,0,1,3,3,2,1,2,9,3,2,1,1,2
652,1,35,1,2,Single,25,54,538,14004,3681,14,Other,Research & Development,Laboratory Technician,3,80,0,Travel_Rarely,3,0,4,2,4,1,3,4,9,3,2,0,2,2
653,1,31,1,4,Divorced,6,66,525,6219,5460,22,Medical,Sales,Sales Executive,4,80,2,Travel_Rarely,4,0,4,4,4,1,4,4,13,7,2,5,7,7
655,1,27,0,4,Divorced,6,66,798,5013,2187,12,Medical,Research & Development,Research Scientist,3,80,2,Travel_Rarely,5,0,3,2,3,1,2,0,6,5,1,0,3,3
656,1,37,1,3,Married,2,75,558,3010,9602,11,Marketing,Sales,Sales Executive,3,80,1,Travel_Rarely,3,1,3,3,3,4,2,4,17,3,2,1,0,0
657,1,20,0,3,Single,1,83,959,11757,2836,13,Life Sciences,Research & Development,Research Scientist,3,80,0,Travel_Rarely,0,0,2,2,4,4,4,1,1,1,1,0,0,0
659,1,42,0,4,Married,2,81,622,5718,4089,13,Life Sciences,Research & Development,Healthcare Representative,3,80,2,Travel_Rarely,4,0,4,3,2,3,3,1,10,10,2,2,2,2
661,1,43,1,4,Divorced,6,50,782,2671,16627,14,Other,Research & Development,Research Director,3,80,1,Travel_Rarely,3,1,4,2,3,2,2,4,21,1,4,0,0,0
662,1,38,0,1,Single,1,43,362,14561,2619,17,Life Sciences,Research & Development,Research Scientist,3,80,0,Travel_Rarely,3,0,1,3,4,3,2,3,8,0,1,0,0,0
663,1,43,1,5,Divorced,9,72,1001,19627,5679,13,Medical,Research & Development,Laboratory Technician,3,80,1,Travel_Frequently,3,1,3,3,2,4,3,3,10,8,2,4,7,7
664,1,48,0,4,Married,1,40,1236,17997,15402,11,Life Sciences,Research & Development,Manager,3,80,1,Travel_Rarely,3,0,1,2,1,4,1,7,21,3,4,0,2,2
665,1,44,0,4,Single,1,50,1112,26894,5985,11,Life Sciences,Human Resources,Human Resources,3,80,0,Travel_Rarely,1,0,3,2,2,1,4,4,10,2,2,0,2,2
666,1,34,0,3,Divorced,14,31,204,2912,2579,18,Technical Degree,Sales,Sales Representative,3,80,2,Travel_Rarely,3,1,3,3,4,3,3,1,8,8,1,0,2,6
667,0,27,1,1,Divorced,2,85,1420,16346,3041,11,Marketing,Sales,Sales Representative,3,80,1,Travel_Rarely,3,0,1,3,2,3,3,0,5,4,1,0,3,2
669,1,21,1,1,Single,22,49,1343,24444,3447,11,Technical Degree,Sales,Sales Representative,3,80,0,Travel_Rarely,2,0,3,3,3,3,3,1,3,3,1,1,2,2
671,1,44,1,4,Married,3,35,1315,9358,19513,12,Other,Research & Development,Manager,3,80,1,Travel_Rarely,2,1,4,3,1,4,4,4,26,2,5,0,2,1
675,1,22,1,1,Married,6,69,604,12145,2773,20,Medical,Research & Development,Research Scientist,4,80,0,Travel_Rarely,3,0,3,3,4,1,3,0,3,2,1,2,2,2
677,1,33,1,4,Divorced,8,39,1216,20431,7104,12,Marketing,Sales,Sales Executive,3,80,0,Travel_Rarely,3,0,3,3,4,3,3,0,6,5,2,1,0,2
679,1,32,0,4,Married,9,92,646,18089,6322,12,Life Sciences,Research & Development,Research Scientist,3,80,1,Travel_Rarely,2,1,4,3,4,1,2,1,6,6,2,0,4,5
680,1,30,0,3,Divorced,3,71,160,22653,2083,20,Medical,Research & Development,Research Scientist,4,80,1,Travel_Frequently,2,0,3,3,3,3,3,1,1,1,1,0,0,0
682,1,53,0,1,Single,1,34,238,7507,8381,20,Medical,Sales,Sales Executive,4,80,0,Travel_Rarely,2,0,1,3,4,4,4,7,18,14,2,8,7,10
683,1,34,1,5,Married,1,42,1397,7660,2691,12,Life Sciences,Research & Development,Research Scientist,3,80,1,Travel_Rarely,4,0,4,3,4,2,2,1,10,10,1,8,9,8
684,0,45,0,4,Married,26,100,306,5630,4286,14,Life Sciences,Sales,Sales Executive,3,80,2,Travel_Frequently,4,0,1,3,4,1,3,2,5,1,2,0,1,0
686,1,26,0,3,Married,6,71,991,17759,2659,13,Life Sciences,Research & Development,Laboratory Technician,3,80,1,Travel_Rarely,2,1,4,3,3,3,3,1,3,3,1,0,2,2
689,1,37,1,3,Married,3,36,482,9606,9434,15,Other,Research & Development,Manufacturing Director,3,80,1,Travel_Rarely,2,0,3,3,3,3,3,1,10,10,3,7,7,8
